,registration number,name,established date,country,number of employs,purpose,phone number,email
0,5cfac26d-fa49-4b95-9f8e-7a9900566f81,United Business Media plc,1978-12-17,United Kingdom,50,,591-366-2617,reach@unitedbusinessmediaplc.org
1,1f7afff7-f9c1-4930-872f-02e7b1d20386,AEGON N.V.,1989-12-20,Netherlands,26,,120-813-8968,marketing@aegonnv.org
2,fe7825bb-5e6b-4b92-b6eb-759518a50d0f,Dorel Industries Inc.,1963-07-07,Canada,44,,521-418-8559,marketing@dorelindustriesinc.org
3,a46d46ae-754b-42c6-802a-4ce0154cebab,Realax Software AG,1981-08-27,Germany,41,,798-048-8601,reach@realaxsoftwareag.org
4,7d78c3a1-adb8-471f-a29a-cc60b93b959d,Partner Communications Co. Ltd.,1982-05-27,Israel,18,,305-520-0644,hr@partnercommunicationscoltd.org
5,4a0bf691-9ace-41c3-8e25-774b19bfa17c,Toyota Motor Corp.,1960-09-22,Japan,19,,131-180-9459,contact@toyotamotorcorp.org
6,783e5a39-b9b8-4a65-b1c6-2ccd261dac7c,Elbit Ltd.,1978-03-06,Israel,26,,698-310-7220,info@elbitltd.org
7,864ce28b-3e45-4017-83b8-8ae53472c3b7,Leitch Technology Corp.,1977-09-09,Canada,13,,457-725-0426,sales@leitchtechnologycorp.org
8,85ce240c-60ac-40e4-b6b0-d7cd5c4d967b,Brandera.com Inc.,1979-08-03,Canada,41,,388-593-2217,sales@branderacominc.org
9,a5b40561-140f-48c7-b17f-ac1a18a83144,Meridian Gold Inc.,1979-12-09,Canada,38,,618-538-0135,hr@meridiangoldinc.org
10,3f2ab04f-6fb3-41cc-835d-faeec761a464,Star Choice Communications Inc.,1963-06-05,Canada,28,,408-537-5680,enquiries@starchoicecommunicationsinc.org
11,5614bfe0-5878-4e12-808e-530feaf82a2c,Fairfax Financial Holdings Ltd.,1979-09-29,Canada,19,,590-419-1506,marketing@fairfaxfinancialholdingsltd.org
12,f62a15d0-69a7-4ab9-b6e3-02a5890133f3,Aurizon Mines Ltd.,1987-05-17,Canada,21,,257-362-4417,sales@aurizonminesltd.org
13,a8214d72-2d8a-4145-92e9-f5c59ec8cada,Global Sources Ltd.,1969-10-15,Bermuda,46,,753-454-8967,hr@globalsourcesltd.org
14,e285b8be-1996-479d-910c-eb3548a38a6c,Rio Tinto Ltd.,1960-03-12,Australia,47,,807-595-1943,headquarters@riotintoltd.org
15,7d5e2bc8-9f5f-4cdf-b5bc-2fae71c505b6,Spirent plc,1971-08-21,United Kingdom,48,,663-364-1369,marketing@spirentplc.org
