registeration number,name,establied date,country,number of employes,purpose,phone number,email
e6bc06b2-26b0-4fda-b718-e3ad7c81055a,VI Group plc,5/24/1988,United Kingdom,31,,495-055-3444,headquarters@vigroupplc.org
a0321761-63aa-490c-b7d5-a3e30f4d6eae,P.T. Pasifik Satelit Nusantara Tbk,5/5/1963,Indonesia,29,,629-141-2587,enquiries@ptpasifiksatelitnusantaratbk.org
ba23f684-e6e1-4a63-a455-56599b6d4ca6,Tele Nordeste Celular Participacoes S.A.,11/27/1976,Brazil,26,,184-056-2664,headquarters@telenordestecelularparticipacoessa.org
0e83a8d8-b870-4565-b4c5-bdae05f42730,Tele Celular Sul Participacoes S.A.,12/7/1961,Brazil,48,,667-875-8361,sales@telecelularsulparticipacoessa.org
27ce7b74-7d6a-4d13-b91e-814f61dd179d,ABB Ltd.,8/20/1984,Switzerland,39,,688-160-3651,marketing@abbltd.org
0a5d71b5-81ac-4495-9f16-17da04d9b615,"Eurotel Bratislava, A.S.",11/6/1984,Slovak Republic,44,,597-184-4016,marketing@eurotelbratislavaas.org
f07f55c1-6182-4b34-8e73-530b5e79c4ed,Pyng Technologies Corp.,12/17/1961,Canada,44,,541-439-4964,sales@pyngtechnologiescorp.org
2b917a9f-8086-4365-b880-9652ee8773c6,Net Sat Servicos Ltda.,2/28/1967,Brazil,13,,277-786-9269,headquarters@netsatservicosltda.org
0815f288-380b-4b4e-b263-1f75dd69b72b,AXA,8/26/1989,France,17,,409-122-5419,reach@axa.org
6e9e27a6-f584-4fec-a9b2-00c364e6df21,Kubota Corp.,11/14/1977,Japan,25,,128-152-1910,hr@kubotacorp.org
85a596b8-e7a4-45ee-ac04-38dd58a04154,Trivalence Mining Corp.,4/24/1963,Canada,25,,436-123-3850,hr@trivalenceminingcorp.org
c5bca43a-6b71-4e5f-8861-7d4ddf5d547e,Canada Life Financial Corp.,1/5/1971,Canada,37,,658-667-6356,info@canadalifefinancialcorp.org
4e0632de-851b-483b-b9e9-c5cd433603fa,Dynamic Oil & Gas Ltd.,11/24/1983,Canada,19,,263-751-3055,marketing@dynamicoilgasltd.org
7f2d17d3-13fd-4f18-a678-5805ab5fa44d,Haemacure Corp.,12/8/1993,Canada,29,,757-765-4803,info@haemacurecorp.org
46c8d780-dea9-4778-ada7-1c13e0316186,Professional Staff plc,7/27/1975,United Kingdom,27,,940-622-1937,info@professionalstaffplc.org
de1ab2b9-0ec0-48ac-8b3d-c3f8fbb7c76a,Intertape Polymer Group Inc.,1/22/1981,Canada,35,,704-390-1802,reach@intertapepolymergroupinc.org
28ce529c-14c6-4c54-bf63-4f5fae569fa3,Elan Corp plc,2/2/1991,Ireland,30,,864-511-0083,contact@elancorpplc.org
06dc67e7-f4b0-417e-83cb-8b6810a55aac,Atlantic Telecom Group plc,5/12/1975,United Kingdom,39,,379-281-1544,marketing@atlantictelecomgroupplc.org
51b52ac3-f0a4-4906-82b3-9ca00c50db0d,HSBC Bank plc,12/3/1976,United Kingdom,19,,560-530-8771,headquarters@hsbcbankplc.org
f4e7c23c-039c-4b38-96a4-35e70f3c9935,National Grid Group plc,3/24/1978,United Kingdom,42,,765-804-8387,contact@nationalgridgroupplc.org
1408fecd-c605-4008-afd9-9744314abd2d,Anooraq Resources Corp.,5/31/1972,Canada,39,,357-536-6476,marketing@anooraqresourcescorp.org
df98f86a-e21a-4c11-bb75-716aea0217fa,Aluminum Corp of China Ltd.,5/16/1982,China,30,,814-039-1974,marketing@aluminumcorpofchinaltd.org
32b7f179-da3f-4942-bc68-766f7a853cce,Governor and Company of the Bank of Ireland,4/23/1976,Ireland,18,,857-210-7051,contact@governorandcompanyofthebankofireland.org
3bb57501-4ef9-479f-9e3d-2dac7c920e39,Etruscan Resources Inc.,6/19/1992,Canada,29,,160-009-9526,hr@etruscanresourcesinc.org
33d454a8-14e0-433e-801c-1d8082b0e164,Chai-Na-Ta Corp.,4/7/1962,Canada,23,,533-768-9918,contact@chainatacorp.org
bb958bd0-5f24-4346-80f3-6615a1ebfd59,Forbes Medi-Tech Inc.,1/5/1994,Canada,38,,502-154-4493,marketing@forbesmeditechinc.org
09fbac4b-8673-42d7-9f32-344c87c6a5f4,G. Willi-Food International Ltd.,6/24/1986,Israel,11,,220-394-7342,headquarters@gwillifoodinternationalltd.org
5afc22ee-ddc7-4af4-a3c4-96fcda87373a,Amvescap plc,2/11/1965,United Kingdom,35,,484-276-7725,contact@amvescapplc.org
6a05f98f-100f-42d9-86b7-a0d589eccbb5,Verena Minerals Corp.,10/10/1981,Canada,46,,266-884-5949,sales@verenamineralscorp.org
02895057-1d61-4576-a475-9e9ad28024d4,ID Biomedical Corp.,10/9/1996,Canada,19,,118-870-8437,marketing@idbiomedicalcorp.org
8235535e-0873-43ef-91ca-879383cf8377,Mirtronics Inc.,5/2/1962,Canada,29,,556-124-9965,info@mirtronicsinc.org
60dcb249-98fd-4108-95d3-6610e68d9f8c,New Tel Ltd.,1/5/1975,Australia,32,,994-215-8206,info@newtelltd.org
536e0301-7918-475d-8eba-864c98511f72,Ekabel Hessen GmbH,3/15/1964,Germany,48,,486-741-7082,info@ekabelhessengmbh.org
94eb8f85-e0a9-4190-a226-03c9e2d2ea4d,Cryptologic Inc.,12/13/1995,Canada,22,,687-175-0790,sales@cryptologicinc.org
5ad5f65a-4601-42c0-a736-c23f95881abe,China Mobile (Hong Kong) Ltd.,10/2/1984,Hong Kong,25,,836-090-8645,contact@chinamobilehongkongltd.org
c434077a-a4b9-4a2b-9c22-d59fb66af8e5,China Yuchai International Ltd.,6/30/1978,Bermuda,48,,303-120-3161,info@chinayuchaiinternationalltd.org
ba350f5c-b544-49e5-8f65-a62e26da6aab,Novartis AG,6/3/1967,Switzerland,49,,646-673-0302,hr@novartisag.org
940197ff-21a7-4911-85ba-123f71ab5779,CP Ships Ltd.,4/13/1987,Canada,7,,512-887-1880,headquarters@cpshipsltd.org
2d3d1c8b-3cc1-4850-a919-ba4d6cb09075,Tele Sudeste Celular Participacoes S.A.,3/4/1976,Brazil,7,,978-489-1684,contact@telesudestecelularparticipacoessa.org
d8888f05-57a7-41b8-8349-316e03e7c211,IMP Industrial Mineral Park Mining Corp.,8/21/1992,Canada,45,,882-576-3134,marketing@impindustrialmineralparkminingcorp.org
37d3b4aa-25ae-4cd9-97e5-476c1a5234e1,Olicom A/S,11/23/1982,Denmark,11,,467-797-5753,reach@olicomas.org
b2219b0e-a525-4f22-b9ff-f780c01b6d00,Rhodia,6/21/1975,France,7,,583-692-6929,contact@rhodia.org
3b9e17d2-96d2-49a6-a4e9-745dcdad023e,Bennett Environmental Inc.,5/15/1962,Canada,39,,561-685-4405,sales@bennettenvironmentalinc.org
bf36cc88-14e9-4795-a5d0-7d939ec42333,Premier International Foods plc,6/13/1979,United Kingdom,12,,509-222-0158,info@premierinternationalfoodsplc.org
6f3bfa68-3fbe-484d-8c51-80c5659025d6,Willis Group Ltd.,10/3/1982,United Kingdom,17,,213-029-9893,hr@willisgroupltd.org
76eb509c-c5a8-4542-aa8a-f2d1db863bf5,Aztek Technologies Inc.,1/5/1991,Canada,15,,370-689-6569,contact@aztektechnologiesinc.org
b9c50519-ea28-43fa-bf9d-70ccaf5d895e,Guangshen Railway Co. Ltd.,3/19/1989,China,11,,798-857-5135,headquarters@guangshenrailwaycoltd.org
50bff4d2-eb09-4932-8cae-a1bf24bca8fb,Citadel Gold Mines Inc.,5/20/1963,Canada,32,,916-317-9829,marketing@citadelgoldminesinc.org
b04575ab-57a6-4892-a506-18c3a3833bfe,Fomento Economico Mexicano S.A. de C.V.,7/8/1977,Mexico,29,,304-380-1927,enquiries@fomentoeconomicomexicanosadecv.org
5e74f6bc-0894-4d6a-9b5f-a16749aeacb9,American Israeli Paper Mills Ltd.,5/24/1966,Israel,41,,672-174-8489,marketing@americanisraelipapermillsltd.org
b7baa59b-a162-4ddb-a665-1dc3629e685b,Southwestern Resources Corp.,2/20/1970,Canada,32,,715-560-9551,reach@southwesternresourcescorp.org
c6ffc038-1636-4025-bd17-3e6c0efa094d,Westpac Banking Corp.,12/21/1991,Australia,42,,906-577-1055,sales@westpacbankingcorp.org
ae2e04e2-0b51-40d5-8d26-e025457ef887,Sonera Corp.,2/9/1993,Finland,25,,480-657-6505,info@soneracorp.org
8b9b24ac-8251-4872-9eca-e90452d4489b,EDP - Electricidade de Portugal S.A.,1/6/1966,Portugal,48,,228-250-9312,contact@edpelectricidadedeportugalsa.org
e8b51bd9-4cc6-4312-a89b-50a82ee16113,Grupo Industrial Maseca S.A. de C.V.,8/8/1962,Mexico,18,,769-279-0008,marketing@grupoindustrialmasecasadecv.org
f4e7c23c-039c-4b38-96a4-35e70f3c9935,National Grid Group plc,1/14/1960,United Kingdom,45,,765-804-8387,contact@nationalgridgroupplc.org
e26113ee-cb0c-47f9-859e-a893fb54c5a6,Companhia de Alimentos Fargo,6/29/1996,Argentina,47,,958-093-7348,contact@companhiadealimentosfargo.org
83b6d180-77fa-452c-80cf-c4d69582210f,HDFC Bank Ltd.,6/4/1986,India,35,,807-338-4865,info@hdfcbankltd.org
edbab26f-9f63-4151-b894-61ee3b8934a4,Cookson Group plc,2/24/1989,United Kingdom,40,,515-101-3129,info@cooksongroupplc.org
4fe031c9-dc81-4ea9-94bb-5e39eefb01c5,Rogers Communications Inc.,12/19/1962,Canada,35,,431-415-5883,hr@rogerscommunicationsinc.org
abb6e83a-8f19-49dd-862d-1a23befb5f73,Novamerican Steel Inc.,2/23/1963,Canada,38,,916-230-0641,contact@novamericansteelinc.org
77643d36-7b7d-4d3c-890a-a7f12efa0624,Grapes Communications B.V.,7/21/1986,Netherlands,11,,342-787-6302,reach@grapescommunicationsbv.org
f727e400-d0cb-49a2-a716-d43a8f58a06f,Eksportfinans A/S,11/8/1962,Norway,18,,562-611-9506,enquiries@eksportfinansas.org
725613f0-6be3-4016-937d-2787bdc7122a,Rio Tinto Ltd.,6/4/1995,Australia,40,,585-131-3425,sales@riotintoltd.org
79ce5bdd-5e07-4aaf-afce-c2d3e8e649ff,Carmel Container Systems Ltd.,9/29/1988,Israel,8,,759-724-1964,info@carmelcontainersystemsltd.org
2eaf5c6c-9d7b-4df1-8a45-841204012343,London Electricity Group plc,11/21/1962,United Kingdom,25,,774-112-1790,headquarters@londonelectricitygroupplc.org
3b40d409-8696-4903-bbc3-6c353612f4f1,Sea Containers Ltd.,11/5/1988,Bermuda,28,,497-305-6017,reach@seacontainersltd.org
9b15753e-f4df-43e8-a2c7-7bdd49189cac,Terra Nova Bermuda Holdings Ltd.,3/11/1974,Bermuda,14,,322-431-4610,hr@terranovabermudaholdingsltd.org
575fda12-33f2-4c28-88e2-179f1a16a021,Resource Finance & Investments Ltd.,6/18/1994,Canada,39,,372-329-6115,reach@resourcefinanceinvestmentsltd.org
38a5abec-199b-4b47-acfd-f766e650d70a,Veronex Technologies Inc.,10/25/1962,Canada,6,,597-015-1027,reach@veronextechnologiesinc.org
bbdbc135-ac66-42b7-8dd2-784c25bae5b7,Head N.V.,1/23/1972,Netherlands,40,,511-767-8503,info@headnv.org
32d618ad-3dba-4c4b-9fb5-035b63304bb4,Oce N.V.,8/7/1972,Netherlands,49,,226-645-8835,contact@ocenv.org
be41cc43-c721-4e4b-abee-94eef989b9e7,Chinadotcom Corp.,9/20/1994,Cayman Islands,26,,910-308-4533,hr@chinadotcomcorp.org
ae8a5ae9-0f3f-4ebc-b585-0e783a1d43c1,Dectron Internationale Inc.,10/17/1988,Canada,16,,573-526-9130,sales@dectroninternationaleinc.org
a2f063b8-69c5-4e72-a228-a78bd198491f,Dr. Reddy's Laboratories Ltd.,9/22/1977,India,25,,406-245-8078,contact@drreddyslaboratoriesltd.org
22642430-2a07-466f-9351-c2dd0b5df1a2,Huntingdon Life Sciences Group plc,7/21/1961,United Kingdom,20,,477-457-0691,enquiries@huntingdonlifesciencesgroupplc.org
97fae7b2-5701-440e-b64b-61c0801ab338,Extendicare Inc.,9/29/1990,Canada,9,,705-105-4083,enquiries@extendicareinc.org
5dad937a-ca05-4ff3-98e4-f4be777aa5f7,Qiagen N.V.,12/29/1994,Netherlands,48,,511-400-6183,marketing@qiagennv.org
54ae134a-38e3-4dd3-a465-183dc2fb1b92,UPM Kymmene Miramichi Inc.,8/9/1983,Canada,15,,819-327-3118,marketing@upmkymmenemiramichiinc.org
43c9858f-f4a0-4318-b8cc-22699282ce04,Korea Thrunet Ltd.,1/8/1976,Korea,23,,694-594-3168,reach@koreathrunetltd.org
e95bda14-196a-4e7c-b931-8413cffb2de4,Anglo Swiss Resources Inc.,3/30/1972,Canada,39,,223-073-7250,headquarters@angloswissresourcesinc.org
f4ef0086-ec64-4531-9a7b-20a26680ea42,Petro-Canada,6/2/1980,Canada,15,,507-219-0964,reach@petrocanada.org
1c2e1d51-15f0-4a9f-a0b3-4d8d9d4fe7c3,Innogy Holdings plc,9/21/1995,United Kingdom,31,,679-711-5741,sales@innogyholdingsplc.org
591156a7-a95f-403d-a323-574c7ecccc31,Luxfer Holdings plc,4/26/1980,United Kingdom,49,,337-057-6428,contact@luxferholdingsplc.org
4fe1fb7e-8b95-4e96-8103-4b78d5031484,Enel S.p.A.,9/22/1965,Italy,43,,478-086-7461,headquarters@enelspa.org
1cfa7781-d4c9-4988-82a8-628692afc67c,Brokat Aktiengesellschaft,8/19/1984,Germany,36,,414-783-8674,contact@brokataktiengesellschaft.org
f2f5a6e5-99d4-41a3-bf8b-45860f7f9ae5,Pepsi-Gemex S.A. de C.V.,11/8/1992,Mexico,18,,530-829-8760,info@pepsigemexsadecv.org
32b7f179-da3f-4942-bc68-766f7a853cce,Governor and Company of the Bank of Ireland,9/20/1980,Ireland,36,,857-210-7051,contact@governorandcompanyofthebankofireland.org
e1400cae-3c26-45bd-a713-6c27015344e2,Technip-Coflexip,7/20/1969,France,12,,662-237-0925,contact@technipcoflexip.org
3a03a497-77a8-4ea5-9277-ceef7344b9fa,Noga Electro-Mechanical Industries (1986) Ltd.,5/7/1961,Israel,47,,423-830-3858,hr@nogaelectromechanicalindustries1986ltd.org
aa2e4289-0992-4d98-a36f-a6c9fbfe14a0,Nera ASA,8/13/1967,Norway,7,,226-667-6167,info@neraasa.org
302fae2a-3dff-4de0-998f-dfb137c3f911,National Bank of Greece S.A.,6/6/1989,Greece,49,,940-874-1095,reach@nationalbankofgreecesa.org
1842e893-f5d6-40de-8843-7d095f33e7ee,"PSi Technologies Holdings, Inc.",7/6/1984,Philippines,37,,294-795-8412,headquarters@psitechnologiesholdingsinc.org
e5ace458-510a-4210-bc16-8ed2f407b00e,Quebecor Inc.,9/25/1989,Canada,43,,324-282-6326,headquarters@quebecorinc.org
e0345966-5672-4222-bffd-49be444ef4d4,"Hanaro Telecom, Inc.",4/25/1961,Korea,10,,333-194-3786,sales@hanarotelecominc.org
88bfa846-16a5-4b7d-b7fd-a173eb7da1f8,Ebookers.com plc,2/22/1973,United Kingdom,33,,615-015-9824,contact@ebookerscomplc.org
30c7add8-1198-4cfd-ad6f-5471b55c2852,Asiacontent.com Ltd.,9/10/1964,British Virgin Islands,13,,884-083-0205,marketing@asiacontentcomltd.org
d4630ef6-7d46-4881-ae8c-65bff71eea14,International Absorbents Inc.,7/19/1962,Canada,28,,299-520-5341,contact@internationalabsorbentsinc.org
4741aad1-96aa-4860-abec-5724d14d9bc5,Ivanhoe Energy Inc.,6/27/1984,Canada,49,,754-741-4564,hr@ivanhoeenergyinc.org
d49b698f-d2e6-4125-99bf-258be7e2b38e,Omninet International Ltd.,7/4/1992,Bermuda,20,,799-779-5881,reach@omninetinternationalltd.org
8b9b24ac-8251-4872-9eca-e90452d4489b,EDP - Electricidade de Portugal S.A.,12/22/1983,Portugal,48,,228-250-9312,marketing@edpelectricidadedeportugalsa.org
ad9b92d0-57e4-46ea-aca7-42f4a9d1d23d,Grupo Tribasa S.A. de C.V.,1/25/1984,Mexico,39,,622-793-7315,info@grupotribasasadecv.org
b42c90de-2a2c-45cf-9a67-e2358ca6a44b,Delano Technology Corp.,11/23/1967,Canada,34,,307-114-1998,marketing@delanotechnologycorp.org
9bd01b0f-5ed2-4332-a065-5ce88ddffcf9,Celanese AG,1/24/1993,Germany,37,,769-023-8150,hr@celaneseag.org
a1253fd2-e9d9-4bef-8514-b569171d3d1a,Petroleos Mexicanos (Pemex),7/24/1986,Mexico,44,,973-548-6117,headquarters@petroleosmexicanospemex.org
bc1f4486-db09-48b0-bf5c-9e95542887f5,Ducati Motor Holdings S.p.A.,6/22/1982,Italy,11,,718-098-7629,info@ducatimotorholdingsspa.org
c2320517-278e-4981-b7da-8816bd62f2a4,Wolseley plc,4/21/1981,United Kingdom,46,,415-791-8766,reach@wolseleyplc.org
a9acb93b-5c68-4f01-b35b-c892ec9c94ea,Cinram International Ltd.,12/19/1967,Canada,18,,227-857-4202,hr@cinraminternationalltd.org
5889f52f-9795-4364-8253-33fa58988e98,Latin American Export Bank,9/12/1972,Panama,22,,685-214-7911,reach@latinamericanexportbank.org
38e25bbd-d563-4718-bcfd-504c846522a6,Canalaska Ventures Ltd.,4/2/1967,Canada,47,,131-455-3645,sales@canalaskaventuresltd.org
fce00cc3-b4d5-41df-b0e4-512f44267324,Trimark Oil & Gas Ltd.,6/22/1986,Canada,33,,574-098-9433,sales@trimarkoilgasltd.org
6a4d0d05-78ed-446c-b7ff-14ee773e5ddc,Baytex Energy Ltd.,1/9/1979,Canada,41,,531-217-7061,headquarters@baytexenergyltd.org
0337704f-39ac-4473-9ce8-ad4c20e9c9c3,Pacific North West Capital Corp.,5/6/1966,Canada,31,,189-219-1530,enquiries@pacificnorthwestcapitalcorp.org
82502f34-48f0-4ac5-ac2b-641d94c1cf4f,Brandera.com Inc.,11/19/1968,Canada,37,,190-266-8616,contact@branderacominc.org
9e9f6a10-3d09-400a-b85b-b6fbb69902d3,Arm Holdings plc,9/17/1989,United Kingdom,14,,595-605-6655,contact@armholdingsplc.org
218fa732-4bba-41a5-bc87-80ac5fe412f4,CNOOC Ltd.,11/29/1960,Hong Kong,40,,159-376-0033,sales@cnoocltd.org
b3f5015b-f2e4-4cee-85f9-362ef87593ef,Techsite Strategies Corp.,12/30/1970,Canada,6,,224-139-5022,info@techsitestrategiescorp.org
052f6f3c-fc6d-4b8b-9eb8-1cf1acc463fc,Corus Group plc,2/24/1974,United Kingdom,23,,927-272-0330,marketing@corusgroupplc.org
f0b5974f-0cb5-41bc-90ea-bf66f2e71920,Royal & Sun Alliance Insurance Group plc,10/24/1984,United Kingdom,21,,284-697-0567,reach@royalsunallianceinsurancegroupplc.org
5ec209a0-97bb-4572-b151-733cbfec8af8,EPCOS AG,5/28/1970,Germany,19,,666-127-9973,info@epcosag.org
cc85c900-d075-4be9-b3e2-f0ac8fcc51bb,Spirent plc,12/13/1966,United Kingdom,10,,275-342-7208,headquarters@spirentplc.org
b6586259-cf9e-479e-ad03-7740eea20b43,Ineos Acrylics Group Holdings plc,5/25/1987,United Kingdom,21,,668-667-3779,enquiries@ineosacrylicsgroupholdingsplc.org
1f9a5b34-e750-4eae-86e6-cc090700f588,Thomson Multimedia,10/28/1988,France,29,,441-187-0494,marketing@thomsonmultimedia.org
414b0cfc-e61a-44ef-9150-6437c16364a6,Sun International Hotels Ltd.,12/7/1972,Bahamas,7,,120-595-6431,contact@suninternationalhotelsltd.org
83b6d180-77fa-452c-80cf-c4d69582210f,HDFC Bank Ltd.,12/3/1971,India,24,,807-338-4865,sales@hdfcbankltd.org
f186e5dc-e8aa-43c0-b597-e3650a7bc658,Bouygues Offshore S.A.,7/1/1967,France,11,,519-630-7515,reach@bouyguesoffshoresa.org
ec5fbf27-9ccc-4320-83f9-96e45f27f3d0,Telstra Corp Ltd.,2/7/1988,Australia,37,,799-467-7560,enquiries@telstracorpltd.org
bdad849a-911b-4c83-9b90-a9b10abe2e7c,Med Net International Ltd.,7/18/1979,Bermuda,23,,671-855-6444,info@mednetinternationalltd.org
5c945726-08fa-415d-a43e-51e23155bb37,Cream Minerals Ltd.,6/25/1966,Canada,36,,242-660-3981,contact@creammineralsltd.org
3019741d-bd4d-4f24-b276-09e10757b9ab,London Pacific Group Ltd.,5/28/1971,United Kingdom,17,,488-542-5106,info@londonpacificgroupltd.org
e09e9c7b-2604-497b-bf33-d675a76f6f57,LogicalOptions International Inc.,7/8/1995,Canada,19,,297-605-5334,hr@logicaloptionsinternationalinc.org
c6ffc038-1636-4025-bd17-3e6c0efa094d,Westpac Banking Corp.,9/8/1977,Australia,8,,906-577-1055,contact@westpacbankingcorp.org
25c05f38-f096-44d5-823b-68eedc030dc7,Falconbridge Ltd.,4/18/1982,Canada,48,,158-014-7032,contact@falconbridgeltd.org
0963b24b-7960-4caf-9eb5-ee1aaf87c1eb,Magic Software Enterprises Ltd.,8/26/1991,Israel,25,,152-327-0513,marketing@magicsoftwareenterprisesltd.org
ebe6bc88-53aa-4438-93ed-d37589dfc04f,Globe Telecom plc,4/4/1966,Philippines,28,,158-754-9710,contact@globetelecomplc.org
31a6f925-ff8f-46c1-9dd4-de56488da0f9,Disco S.A.,5/13/1969,Argentina,18,,976-240-5839,enquiries@discosa.org
de811dd2-9db1-4a94-98d3-912815917fce,NovAtel Inc.,4/10/1967,Canada,20,,321-329-9578,contact@novatelinc.org
7619cef9-72ac-4a00-9de8-781cf3c77466,Korea Telecom Corp.,2/2/1982,Korea,35,,600-546-9834,sales@koreatelecomcorp.org
225c9142-bb5e-4c8b-9116-e23594458d2c,Polyair Inter Pack Inc.,9/29/1994,Canada,38,,564-013-5458,reach@polyairinterpackinc.org
92b0a94a-0c6b-457b-9472-15d69e85dcc0,Pacific Dunlop Ltd.,9/18/1981,Australia,39,,640-096-9693,hr@pacificdunlopltd.org
35ffbb14-df41-46e6-a955-083dc2cc2cb5,Photochannel Networks Inc.,6/27/1974,Canada,18,,624-465-7316,contact@photochannelnetworksinc.org
6b612063-f7f6-4f79-884b-b6d5459796a0,Barrick Gold Corp.,12/17/1977,Canada,26,,967-310-7755,headquarters@barrickgoldcorp.org
57abd20b-e1cc-48b2-af99-1ff428528834,Kookmin Bank,8/18/1981,Korea,5,,536-557-1909,reach@kookminbank.org
b895ccda-38b7-4fbb-82a0-1ed001566f6c,Texon International plc,1/20/1988,United Kingdom,37,,415-529-7304,enquiries@texoninternationalplc.org
9b15753e-f4df-43e8-a2c7-7bdd49189cac,Terra Nova Bermuda Holdings Ltd.,5/25/1981,Bermuda,10,,322-431-4610,sales@terranovabermudaholdingsltd.org
89054fd2-65a5-4726-bc56-5be922166ffe,Lihir Gold Ltd.,6/25/1964,Papua New Guinea,42,,306-268-4597,contact@lihirgoldltd.org
acaf5d8e-075a-482c-8598-bdfab549d0e7,D G Jewelry of Canada Inc.,6/8/1992,Canada,46,,497-130-7719,sales@dgjewelryofcanadainc.org
132c9ed8-14ce-4c74-bfbb-02c53f54cf49,IGN Internet Global Network Inc.,9/17/1993,Canada,12,,453-882-5356,contact@igninternetglobalnetworkinc.org
a9c5469c-fc34-480e-8c4b-16b5e5ab4e38,Telecomunicaios de Sao Paulo S.A. - Telesp,5/25/1960,Brazil,48,,313-408-6573,reach@telecomunicaiosdesaopaulosatelesp.org
38ee601d-bae5-4708-adf7-8e413be466ea,Prudential plc,8/31/1963,United Kingdom,36,,104-242-6130,reach@prudentialplc.org
50bff4d2-eb09-4932-8cae-a1bf24bca8fb,Citadel Gold Mines Inc.,4/2/1994,Canada,40,,916-317-9829,hr@citadelgoldminesinc.org
8b94ceff-5be4-4a47-9f1e-7dd89d4d5f45,Mitsui & Company Ltd.,7/29/1994,Japan,25,,328-806-9588,reach@mitsuicompanyltd.org
1abdf715-5fb3-4943-b534-e3f31e8695cc,Lloyds TSB Group plc,5/9/1961,United Kingdom,32,,522-531-8445,enquiries@lloydstsbgroupplc.org
4fe1fb7e-8b95-4e96-8103-4b78d5031484,Enel S.p.A.,10/28/1986,Italy,9,,478-086-7461,contact@enelspa.org
